Restaurant Name,Aggregate rating,Votes,correl,
Bocca Di Lupo,4.5,571,,
The Cafe,4.9,570,,
Tako Cheena by Pom Pom,4.4,570,,
Lighthouse 13,3.4,570,,
BRONX Bar Exchange,4.1,569,,
Bosphorous Turkish Cuisine,4.2,568,,
Mocha,4.6,567,,
Maquina,3.8,567,,
Cafe Delhi Heights,4.1,567,,
Pirates' House Restaurant,3.8,566,,
Berco's,3.8,565,,
Burma Burma,4.6,563,,
Mainland China,3.3,563,,
The Immigrant Cafe,3.2,563,,
Defence Bakery,4.1,561,,
Starbucks,3.9,560,,
Bhimsain's Bengali Sweet House,3.4,560,,
The Tin Cow,3.7,559,,
Big City Bread Cafe,4.3,558,,
Vic's On The River,4.1,558,,
Nagaland's Kitchen,3.8,556,,
Bittercreek Ale House,4.3,555,,
The Fisherman's Wharf,4.6,555,,
Informal,3.9,555,,
The University Bistro,3.6,555,,
Gazebo,4.4,552,,
Grand Barbeque Buffet Restaurant,4.4,552,,
Starbucks,3.8,552,,
Maison Des Desserts,3.9,552,,
Perch Wine & Coffee Bar,4.2,551,,
Shokitini,4.2,550,,
Flying Pie Pizzaria,4.1,550,,
Rae's Coastal Cafe,4.9,548,,
Burger Singh,3.6,548,,
Dhaba - The Claridges,3.9,548,,
Domino's Pizza,3.6,547,,
The Royal Peasant,4.4,546,,
Kuremal Mohan Lal Kulfi Wale,4.5,545,,
Grub Shack,4.3,544,,
Chai Point,3.7,544,,
Taqueria Del Sol,4.1,543,,
Blue Point Grill,4,542,,
Kunzum Travel Cafe,4.2,542,,
Gemelli Cucina Bar,4.8,542,,
Pizza Hut,3.5,541,,
SuperHero Cafe,3.8,541,,
Rang De Basanti Urban Dhaba,4.4,541,,
Varq - The Taj Mahal Hotel,4.2,541,,
Pita Pit,3.8,540,,
The Great Kabab Factory,3.5,540,,
Barbacoa Restaurant,4.1,538,,
Eleven Course,4,537,,
R' ADDA,4,536,,
NIU by Vikings,4.7,535,,
Eggs 'n Things,4,535,,
Turquoise Villa,4,535,,
Villa Shanti,3.9,535,,
For God's Cake,3.9,533,,
Locavore,4.8,532,,
Django,4.3,532,,
The Great Kabab Factory - Radisson Blu Plaza Delhi,4.2,532,,
Roy's,4.2,531,,
Waterfront Seafood Market,4.2,530,,
Bikkgane Biryani,4,530,,
Superstar Caf??,4.2,530,,
Via Delhi,4,525,,
Zaffran,4.5,524,,
Draft Gastro Pub,4.9,522,,
Giani's di Hatti,4.3,521,,
Cheenos,2.6,521,,
Buffet 101,4,520,,
The Breakfast Story,4.5,520,,
Haunted,3.8,519,,
Changezi Chicken,3.7,519,,
L'Opera,4,518,,
Wendy's,3.7,518,,
Mandarin Trail,3.7,517,,
LPK Waterfront,3.7,516,,
Theos,4.1,516,,
