unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
,Seafood,,,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,American, BBQ, Seafood,,,,,,,,,,
,Italian,,,,,,,,,,,,
,American, Burger, Sandwich,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,Desserts, Pizza, Ice Cream,,,,,,,,,,
,American, Burger,,,,,,,,,,,
,Japanese, Steak, Sushi,,,,,,,,,,
,American, Burger,,,,,,,,,,,
,International, Pizza,,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,Breakfast, Pizza,,,,,,,,,,,
,American, Italian,,,,,,,,,,,
,American,,,,,,,,,,,,
,Italian, Pizza,,,,,,,,,,,
,American, Breakfast, Burger,,,,,,,,,,
,American, Burger, Pizza, Cafe,,,,,,,,,
,American, Seafood, Steak,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,Tea, Modern Australian,,,,,,,,,,,
,Cafe, Australian,,,,,,,,,,,
,American, Sandwich, Seafood,,,,,,,,,,
,BBQ, Burger, Seafood,,,,,,,,,,
,American, Burger, Cajun,,,,,,,,,,
,,,,,,,,,,,,,
,BBQ,,,,,,,,,,,,
,Chinese, Japanese, Thai,,,,,,,,,,
,Bar Food, Seafood, Vegetarian,,,,,,,,,,
,Seafood,,,,,,,,,,,,
,American, Southern,,,,,,,,,,,
,BBQ, Sandwich,,,,,,,,,,,
,Sandwich, Seafood, Cajun,,,,,,,,,,
,Thai,,,,,,,,,,,,
,BBQ,,,,,,,,,,,,
,American, European, Sandwich,,,,,,,,,,
,Southern,,,,,,,,,,,,
,American, Southern,,,,,,,,,,,
,German,,,,,,,,,,,,
,German, Ice Cream,,,,,,,,,,,
,Burger, German, Sandwich,,,,,,,,,,
,Italian, Pizza, Sandwich,,,,,,,,,,
,Cafe, Coffee and Tea, Modern Australian,,,,,,,,,,
,Italian, Fusion, Cafe,,,,,,,,,,
,Breakfast, Modern Australian,,,,,,,,,,,
,Burger, Coffee and Tea, Modern Australian,,,,,,,,,,
,Breakfast, Coffee and Tea,,,,,,,,,,,
,Burger, Desserts, Sandwich,,,,,,,,,,
,Thai,,,,,,,,,,,,
,Breakfast, Coffee and Tea,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Coffee and Tea, Cuban, Latin American,,,,,,,,,,
,Pizza, Sandwich,,,,,,,,,,,
,Seafood,,,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,Burger, Desserts, Bar Food,,,,,,,,,,
,,,,,,,,,,,,,
,American, Seafood,,,,,,,,,,,
,Steak,,,,,,,,,,,,
,Desserts, Greek, Sandwich,,,,,,,,,,
,European, Italian, Mediterranean,,,,,,,,,,
,Greek, Mediterranean, Vegetarian,,,,,,,,,,
,American, Chinese, Sushi,,,,,,,,,,
,Italian,,,,,,,,,,,,
,Japanese, Sushi, Thai,,,,,,,,,,
,Pizza, Sandwich, Vegetarian,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,American, Greek, Seafood,,,,,,,,,,
,BBQ,,,,,,,,,,,,
,Japanese, Sushi, Thai,,,,,,,,,,
,Japanese, Steak, Sushi,,,,,,,,,,
,Asian,,,,,,,,,,,,
,Breakfast, Burger,,,,,,,,,,,
,Bar Food, Modern Australian,,,,,,,,,,,
,,,,,,,,,,,,,
,Italian, Pizza,,,,,,,,,,,
,Coffee and Tea, Modern Australian,,,,,,,,,,,
,American, International, Southwestern,,,,,,,,,,
